"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-09-30,58429,"01569","MA","Worcester","Worcester","Uxbridge",6844,279600,0.00902201371346084,0.0211833455076698,0.0602957906712173,0.0272761210715571,-0.0100123697567622,"2005-06","2005-Q2",322700,-0.133560582584444,"2003-10"
2016-09-30,92266,"78121","TX","San Antonio","Wilson","La Vernia",6845,265900,0.003017729158808,0.00453343407631281,0.055577610162763,0.0563003828935464,0.029768403792888,"2016-09","2016-Q3",265900,0,"2016-09"
2016-09-30,85197,"61853","IL","Champaign-Urbana","Champaign","Mahomet",6846,188000,-0.00106269925611052,0,0.00912506709608159,0.0190173253338257,0.0111308785030342,"2016-08","2016-Q3",188200,-0.00106269925611052,"2016-05"
2016-09-30,70647,"29669","SC","Greenville","Anderson","West Pelzer",6847,118800,0.00337837837837838,0.0197424892703863,0.102040816326531,0.0707665577263064,0.02964918976058,"2016-09","2016-Q3",118800,0,"2016-09"
2016-09-30,63476,"14219","NY","Buffalo","Erie","Town of Hamburg",6848,120000,0.0025062656641604,0.0118043844856661,0.0443864229765013,0.0330378041139323,,"2016-09","2016-Q3",120000,0,"2016-09"
2016-09-30,58726,"02339","MA","Boston","Plymouth","Hanover",6849,461400,0.00391644908616188,0.0207964601769912,0.0636237897648686,0.0332433806457424,0.00403252988714242,"2005-07","2005-Q3",473100,-0.0247305009511731,"2005-04"
2016-09-30,77572,"45309","OH","Dayton","Montgomery","Brookville",6850,124800,0.00240963855421687,0.00807754442649435,-0.000800640512409928,0.00939364180012814,-0.00913874046793273,"2006-09","2006-Q3",136800,-0.087719298245614,"2002-05"
2016-09-30,78091,"46320","IN","Chicago","Lake","Hammond",6851,51000,-0.00195694716242661,-0.0395480225988701,-0.100529100529101,-0.019579561541187,-0.04048541668866,"2008-05","2008-Q2",89800,-0.432071269487751,
2016-09-30,65796,"19129","PA","Philadelphia","Philadelphia","Philadelphia",6852,208600,0.0240549828178694,0.0780361757105943,0.0724935732647815,0.00785179836443195,0.00691969422966743,"2010-05","2010-Q2",217100,-0.0391524643021649,"2009-09"
2016-09-30,96580,"92007","CA","San Diego","San Diego","Encinitas",6853,1061000,0.014049507789353,0.0707437682914522,0.1030252625013,0.0973798608703733,0.0239610317282835,"2016-09","2016-Q3",1061000,0,"2016-09"
2016-09-30,79285,"48623","MI","Saginaw","Saginaw","Freeland",6854,153500,0.00130463144161774,0.0145406477197621,0.0385656292286874,0.0209264555124171,0.00297985708203052,"2005-12","2005-Q4",154100,-0.00389357560025957,"2005-11"
2016-09-30,82464,"55805","MN","Duluth","Saint Louis","Duluth",6855,118900,0.0119148936170213,0.0321180555555556,0.0587711487088157,0.0373118328149518,,"2016-09","2016-Q3",118900,0,"2016-09"
2016-09-30,86327,"64080","MO","Kansas City","Cass","Pleasant Hill",6856,174700,-0.00171428571428571,-0.00569151963574274,0.04236276849642,0.0222466891107256,,"2015-01","2015-Q1",178700,-0.0223838836038053,"2014-11"
