,Location,Zhvi
494,"30.51, -97.67",184500
495,"39.95, -75.16",117200
496,"38.93, -121.25",402200
497,"41.54, -72.65",188900
498,"42.41, -70.99",335000
499,"26.14, -80.13",346700
500,"28.5, -81.37",196900
501,"28.3, -82.7",81200
502,"38.11, -122.2",407400
503,"41.9, -71.09",250500
504,"29.45, -98.5",340500
505,"42.35, -71.15",377400
506,"41.24, -112.13",156800
507,"25.77, -80.2",271400
508,"34.25, -118.41",416300
509,"40.25, -74.27",324500
510,"43.07, -89.38",264700
511,"33.44, -111.85",162300
512,"39.01, -77.02",507600
513,"36.03, -115.07",248600
514,"44.94, -93.1",246500
515,"35.54, -118.91",183000
516,"42.5, -82.93",77500
517,"34.76, -77.4",123200
518,"40.04, -76.3",219900
519,"40.1, -74.35",337600
520,"39.95, -75.16",123100
521,"41.31, -72.92",185300
522,"38.63, -77.26",316400
523,"36.1, -80.24",159500
524,"36.37, -86.45",202500
525,"45.58, -122.91",334600
526,"28.78, -81.27",169600
527,"34.03, -84.35",378200
528,"29.99, -90.24",184000
529,"39.26, -84.27",231300
530,"39.77, -84.19",105300
531,"26.02, -80.16",187100
532,"38.87, -77.1",595300
533,"37.71, -121.91",788200
534,"34.11, -118.19",617200
535,"30.56, -97.86",209700
536,"32.79, -116.96",463400
537,"38.3, -85.72",111900
538,"33.7, -117.76",833800
539,"37.34, -121.88",666000
540,"37.98, -122.15",535400
541,"35.85, -86.39",192800
542,"35.05, -92.5",162300
543,"39.67, -75.75",204300
544,"34.02, -84.61",184500
545,"39.76, -104.87",243200
546,"34.09, -118.13",571300
547,"35.85, -86.39",203900
548,"28.5, -81.37",106500
549,"33.83, -117.6",431800
550,"33.45, -81.99",139000
551,"39.67, -75.75",262000
552,"32.93, -97.07",315000
553,"21.31, -158.01",551700
554,"27.09, -82.43",204600
555,"40.85, -74.12",290200
556,"33.6, -112.28",140500
557,"37.67, -122.47",822800
558,"33.71, -116.23",234700
559,"32.79, -96.76",333300
560,"41.84, -87.79",175400
561,"40.72, -74.23",153500
562,"35.78, -78.79",395800
563,"30.44, -91.12",167300
564,"36.11, -115.27",214900
565,"34.04, -117.01",331900
566,"48.73, -122.48",323500
567,"26.14, -80.13",225400
568,"30.06, -95.38",137800
569,"38.95, -92.32",130000
570,"33.45, -88.82",173000
571,"38.63, -90.24",102100
572,"43.06, -87.96",56100
573,"38.29, -77.48",244300
574,"39.95, -75.6",372400
575,"37.36, -122.02",1308300
576,"28.8, -81.88",144100
577,"42.58, -82.91",180200
578,"39.8, -74.98",126400
579,"38.79, -90.51",165600
580,"39.95, -75.16",85300
581,"21.39, -158.01",601300
582,"37.67, -121.01",236600
583,"41.83, -87.68",196100
584,"33.71, -117.9",485000
585,"42.33, -122.79",262700
586,"45.48, -122.6",350000
587,"33.66, -111.87",624200
588,"28.02, -82.77",198300
589,"43.54, -116.29",207800
590,"26.52, -80.08",273400
591,"33.05, -117.25",891800
592,"25.92, -97.48",71700
593,"40.78, -81.52",121500
594,"33.92, -117.24",259300
595,"43.92, -123.08",290600
596,"33.04, -96.74",459000
597,"35.4, -80.59",151200
598,"41.48, -90.48",97600
599,"37.28, -121.95",1057800
600,"33.2, -117.29",463300
601,"39.95, -75.6",384600
602,"32.58, -96.86",168700
603,"41.83, -87.68",215100
604,"40.84, -73.87",333300
605,"41.11, -112.05",184900
606,"39.95, -75.16",52500
607,"46.21, -119.16",195200
608,"38.83, -77.21",512000
609,"27.19, -80.24",233900
610,"40.71, -74.06",315700
611,"32.75, -97.33",177000
612,"32.85, -116.99",444900
613,"40.71, -73.99",503000
614,"35.82, -78.65",192200
615,"38.44, -121.3",373000
616,"39.95, -75.16",162400
617,"40.64, -73.94",641300
618,"36.73, -76.04",333700
619,"21.3, -157.85",688200
620,"38.85, -77.29",516600
621,"30.06, -89.93",237800
622,"32.95, -117.19",938800
623,"29.57, -81.21",223100
624,"30.68, -88.04",164100
625,"35.15, -89.75",160800
626,"33.67, -117.9",728700
627,"33.64, -112.38",211500
628,"36.23, -115.29",228200
629,"27.27, -80.35",151800
630,"34.04, -118.29",579900
631,"37.55, -77.46",168400
632,"37.5, -77.63",238700
633,"33.57, -117.72",556500
634,"26.19, -97.68",69100
635,"30.26, -97.74",245700
636,"33.87, -84.33",457200
637,"34.0, -81.03",143300
638,"39.82, -84.88",72000
639,"33.0, -80.17",174600
640,"33.57, -117.14",386500
641,"38.79, -90.51",217700
642,"42.3, -83.48",229500
643,"34.28, -119.22",542500
644,"47.61, -122.3",620500
645,"33.16, -111.59",254100
646,"34.76, -77.4",125700
647,"33.57, -101.87",178500
648,"34.95, -89.82",162800
649,"39.95, -75.16",244400
650,"34.06, -118.43",1044900
651,"32.91, -96.62",157200
652,"41.4, -73.47",229400
653,"33.97, -118.21",367200
654,"42.34, -88.11",134300
655,"40.81, -74.18",310900
656,"33.61, -111.94",429800
657,"39.26, -76.74",278600
658,"38.78, -90.7",198200
659,"19.69, -155.08",301400
660,"41.83, -87.68",280300
661,"39.32, -76.72",174500
662,"36.07, -79.82",87800
663,"33.99, -117.44",338700
664,"35.11, -106.62",166000
665,"43.65, -116.43",220700
666,"32.85, -96.96",152400
667,"39.98, -75.81",214500
668,"39.59, -105.01",355400
669,"33.65, -116.27",383200
670,"41.5, -74.02",170200
671,"39.78, -89.64",121400
672,"44.76, -93.27",240900
673,"39.95, -75.16",118900
674,"25.77, -80.2",262500
675,"34.1, -117.66",421100
676,"40.41, -105.07",292600
677,"39.69, -104.81",252700
678,"39.33, -84.4",216400
679,"29.45, -98.5",142800
680,"21.45, -158.01",651100
681,"38.79, -90.32",93100
682,"29.99, -90.17",221400
683,"35.82, -78.65",213600
684,"33.95, -83.39",161700
685,"34.7, -86.74",193900
686,"38.73, -77.0",285000
687,"40.68, -73.78",406100
688,"26.23, -80.13",180800
689,"37.78, -122.43",1301100
690,"27.95, -82.48",142200
691,"38.22, -85.74",119500
692,"33.04, -96.74",354200
693,"40.25, -75.64",150100
694,"35.82, -78.65",316900
695,"32.75, -97.33",138900
696,"41.83, -87.68",147500
697,"26.74, -80.12",377500
698,"40.04, -76.3",138700
699,"30.05, -81.9",158400
700,"37.27, -76.7",295900
701,"44.9, -122.92",168700
702,"33.43, -111.71",198600
703,"44.16, -93.99",179200
704,"39.94, -105.06",340100
705,"42.27, -85.58",198800
706,"28.08, -80.6",129600
707,"35.11, -106.62",204600
708,"41.44, -74.42",158400
709,"37.19, -93.28",89600
710,"42.38, -83.1",31500
711,"45.44, -122.76",387100
712,"33.82, -116.45",254000
713,"38.86, -104.76",238700
714,"32.98, -96.89",235800
715,"40.32, -79.69",146900
716,"26.23, -80.13",317800
717,"42.28, -122.9",197500
718,"35.38, -119.22",267500
719,"33.71, -117.94",727800
720,"40.43, -79.97",222200
721,"33.27, -117.28",431800
722,"27.53, -99.48",165600
723,"39.98, -82.98",86900
724,"39.98, -82.98",227600
725,"40.94, -74.24",424400
726,"32.86, -117.24",1393000
727,"35.1, -90.0",61500
728,"33.67, -112.36",205700
729,"42.52, -89.02",79300
730,"36.29, -119.38",196100
731,"33.77, -84.29",93500
732,"41.66, -83.58",88300
733,"39.48, -119.74",223200
734,"26.14, -80.13",144900
735,"32.32, -95.3",201100
736,"36.52, -82.55",112900
737,"21.41, -157.79",755600
738,"28.04, -81.96",160600
739,"42.85, -73.8",267100
740,"38.63, -90.24",52700
741,"25.77, -80.2",226200
742,"37.68, -97.34",137500
743,"30.21, -92.02",153500
744,"39.08, -77.15",546500
745,"33.82, -117.91",484100
746,"31.31, -89.3",84900
747,"36.23, -115.05",132400
748,"33.52, -86.79",84300
749,"34.18, -79.78",140400
750,"40.59, -73.81",385200
751,"35.11, -106.62",127700
752,"39.33, -84.54",145600
753,"45.64, -122.63",253700
754,"35.82, -78.65",284200
755,"26.63, -81.99",265700
756,"42.66, -82.91",256500
757,"33.04, -96.51",229000
758,"34.3, -118.72",524900
759,"47.71, -122.3",526800
760,"39.8, -84.01",96600
761,"39.95, -75.16",357800
762,"26.02, -80.16",178600
763,"33.32, -111.87",231200
764,"30.51, -97.67",262500
765,"34.24, -84.49",207800
766,"27.95, -82.48",156100
767,"35.88, -80.07",107100
768,"43.06, -87.96",93700
769,"29.45, -98.5",165800
770,"40.88, -74.04",294700
771,"33.9, -117.61",505800
772,"41.44, -72.81",239400
773,"35.69, -78.62",171300
774,"33.36, -111.93",240200
775,"39.98, -82.98",87100
776,"32.74, -117.17",637000
777,"42.71, -71.18",306300
778,"32.91, -111.74",144400
779,"32.69, -97.12",95900
780,"40.0, -75.7",325800
781,"41.5, -87.63",85900
782,"35.97, -83.94",137900
783,"36.56, -87.34",187900
784,"32.97, -96.7",262100
785,"37.27, -76.7",299700
786,"27.95, -82.48",111000
787,"37.76, -122.44",1361100
788,"39.16, -86.52",187800
789,"44.94, -93.1",151700
790,"39.69, -104.81",247800
791,"33.23, -87.54",130900
